Agency name,Organisation ID,Actor type,Abbreviation,Donor,Name of implementing partners (if different),Division name,Address,Parish,Neighbourhood name,Sector_Other,Title,Detailed Activity description,Target Population,Number of HHs targeted by activity,Number of individuals targeted by activity,Ongoing / planned / completed / suspended,Start (month),End (month),Livelihood - economic empowerement,Social and legal assistance,"Social services (health, education, basic infrastructure)",Feel free to add any comment or clarification,Name,Position,Email
I AM Family Minitries,5,National Non Governmental Organisation,I AM Family Minitries,,,Rubaga,,NANKULABYE I,,Social Development,,"Empower communities,Develop talent and create opportunities",,,1000,,01-Apr-17,01-Jan-19,,,,,,,
I AM Family Minitries,5,National Non Governmental Organisation,I AM Family Minitries,,,Rubaga,,NANSANA,,Social Development,,"Empower communities,Develop talent and create opportunities",,,1000,,01-Apr-17,01-Jan-19,,,,,,,
AVSI,12,International Organisation / United Nations Agency,AVSI,,,All Divisions,,BUKOTO I,,Social Development,,"Build,strengthen and restore the livelihood of households affected by the clearance of the right of way( ROW) during the construction of Kampala Jinja Expressway project.",,,15000,,01-Aug-18,01-Jul-21,,,,,,,
AVSI,12,International Organisation / United Nations Agency,AVSI,,,All Divisions,,MBUYA I,,Social Development,,"Build,strengthen and restore the livelihood of households affected by the clearance of the right of way( ROW) during the construction of Kampala Jinja Expressway project.",,,15000,,01-Aug-18,01-Jul-21,,,,,,,
HOCW,4,National Non Governmental Organisation,HOCW,,,Makindye,,KATWE,,Social Development,,Provision of basic income generation skills ( 350 individuals ),,,350,,01-Feb-17,01-Oct-19,,,,,,,
International Organization for Migration (IOM),10,International Organisation / United Nations Agency,International Organization for Migration (IOM),,,Makindye,,KATWE I,,Social Development,,Strenghening Social Cohesion in Slum areas: Support for small businesses,,,,,01-Aug-17,,,,,,,,
International Organization for Migration (IOM),,International Organisation / United Nations Agency,International Organization for Migration (IOM),,,"Kawempe, Rubaga, Central","Plot 6 A Bukoto Crescent, Naguru, Kampala","Kabalagala, Kisenyi, Bwaise, Katwe",,Social Development,,Youth livelihoods and capacity building to prevent violent extremism,,,1000,Ongoing,2016,2020,livelihoods/ Economic empowerment,,,,,,dogolla@iom.int / iomkampala@iom.int
Young African refugees for Integral Development,9,National Non Governmental Organisation,Young African refugees for Integral Development,,,Makindye,,KATWE I,,Social Development,,Women empowerment project focussing on tailoring and handcrafts making,,,,,05-Jul-05,,,,,,,,
InterAid Uganda,19,National Non Governmental Organisation,InterAid Uganda,,,All,,,,Social Development,,"Cordination and support to service delivery for refugees and the host community through the established public (KCCA) structures, Reasech and advocacy for inclusion in Social service delivery",,,100000,,01-Jan-18,01-Dec-18,,,,,,,
International Rescue Committee,6,International Non Governmental Organisation,International Rescue Committee,,,TBD,,,,Social Development,,Implementation of area-based approach- would involve current and prospective service providers in one neighborhood across sectors. IRC would likely take a Liveilhoods and Protection/GBV role.,,,TBD,,TBD,TBD,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,BWAISE II,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,KANSANGA,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,KATWE II,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,KAWEMPE I,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,KAZO ANGOLA,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,KISENYI III,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,LUNGUJJA,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,MENGO,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA,1,International Non Governmental Organisation,AGORA,,,"Central, Rubaga, Makindye, Kawempe",,NAKULABYE I,,Public Administration,,multisector needs assessment for host communities and refugees. Institutional cooperation and support for KCCA at the central level. Support to coordination,,,about 250 000,,01-Dec-17,01-Aug-18,,,,,,,
AGORA/ACTED,2,International Non Governmental Organisation,AGORA/ACTED,,,All,,,,Public Administration,,Improvement of delivery and access to basic social services. multisector needs assessment for host communities and refugees. Institutional cooperation and technical assistance for KCCA. Support ot coordination.,,,20000 Households,,01-Dec-18,01-Dec-20,,,,,,,
Jesuit Refugee Service (JRS),17,International Non Governmental Organisation,Jesuit Refugee Service (JRS),,,Makindye,,NSAMBYA CENTRAL,,Social Development,,"Livelihoods (Catering, Hairdressing, Tailoring, Computers, Arts & Crafts, Electronics Repair); Education (English as Second Language for adults, Primary and Secondary School sponsorship); Basic Needs (food, rental, minor medical support); Psychosocial counseling and referrals.",,,6000,,01-Jan-18,01-Dec-18,,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,"Kawempe, Rubaga, Makindye",,BWAISE III,,Social Development,,"The program 'Safer Cities for Girls Programme' Builds Safe, accountable and inclusive cities for and with girls in all their diversity, empowers young girls to know and advocate for their rights, and also involves young boys who are sensitized about girls' rights. The program is undertaken in partnership with schools.",,,"1200 girls out-of-school, 600 schooled girls, 600 out-of-school boys and 340 boys in schools.",,01-Jun-15,01-Dec-18,,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,"Kawempe, Rubaga, Makindye",,GGABA,,Social Development,,"The program 'Safer Cities for Girls Programme' Builds Safe, accountable and inclusive cities for and with girls in all their diversity, empowers young girls to know and advocate for their rights, and also involves young boys who are sensitized about girls' rights. The program is undertaken in partnership with schools.",,,"1200 girls out-of-school, 600 schooled girls, 600 out-of-school boys and 340 boys in schools.",,01-Jun-15,01-Dec-18,,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,"Kawempe, Rubaga, Makindye",,KABALAGALA,,Social Development,,"The program 'Safer Cities for Girls Programme' Builds Safe, accountable and inclusive cities for and with girls in all their diversity, empowers young girls to know and advocate for their rights, and also involves young boys who are sensitized about girls' rights. The program is undertaken in partnership with schools.",,,"1200 girls out-of-school, 600 schooled girls, 600 out-of-school boys and 340 boys in schools.",,01-Jun-15,01-Dec-18,,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,"Kawempe, Rubaga, Makindye",,KAWEMPE I,,Social Development,,"The program 'Safer Cities for Girls Programme' Builds Safe, accountable and inclusive cities for and with girls in all their diversity, empowers young girls to know and advocate for their rights, and also involves young boys who are sensitized about girls' rights. The program is undertaken in partnership with schools.",,,"1200 girls out-of-school, 600 schooled girls, 600 out-of-school boys and 340 boys in schools.",,01-Jun-15,01-Dec-18,,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,"Kawempe, Rubaga, Makindye",,KISUGU,,Social Development,,"The program 'Safer Cities for Girls Programme' Builds Safe, accountable and inclusive cities for and with girls in all their diversity, empowers young girls to know and advocate for their rights, and also involves young boys who are sensitized about girls' rights. The program is undertaken in partnership with schools.",,,"1200 girls out-of-school, 600 schooled girls, 600 out-of-school boys and 340 boys in schools.",,01-Jun-15,01-Dec-18,,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,"Kawempe, Rubaga, Makindye",,NANKULABYE I,,Social Development,,"The program 'Safer Cities for Girls Programme' Builds Safe, accountable and inclusive cities for and with girls in all their diversity, empowers young girls to know and advocate for their rights, and also involves young boys who are sensitized about girls' rights. The program is undertaken in partnership with schools.",,,"1200 girls out-of-school, 600 schooled girls, 600 out-of-school boys and 340 boys in schools.",,01-Jun-15,01-Dec-18,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,BWAISE I,,Social Development,,"Psychosocial support, Caunseling and carrier guidance, Domestic violence and local council capacity building programs",,,about 5000,,01-Jul-05,Open,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,KAWEMPE I,,Social Development,,"Psychosocial support, Caunseling and carrier guidance, Domestic violence and local council capacity building programs",,,about 5000,,01-Jul-05,Open,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,KAWEMPE I,,Social Development,,"Psychosocial support, Caunseling and carrier guidance, Domestic violence and local council capacity building programs",,,about 5000,,01-Jul-05,Open,,,,,,,
COMESSA Uganda,16,National Non Governmental Organisation,COMESSA Uganda,,,All,,NANKULABYE I,,Social Development,,"Psychosocial support, Caunseling and carrier guidance, Domestic violence and local council capacity building programs",,,about 5000,,01-Jul-05,Open,,,,,,,
IIED,11,National Non Governmental Organisation,IIED,,,All,,KAMPALA,,Health,,Towards inclusive health systems and infrastructure access: Enhancing the well-being of refugees in East African cities’,,,,,01-Sep-17,01-Jan-19,,,,,,,
World Food programme (WFP),13,International Organisation / United Nations Agency,World Food programme (WFP),,,All,,,,Health,,Assessment of Food Security and Nutrition in Kampala targeting,,,,,01-Jul-18,01-Oct-18,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,Rubaga,,KABOWA,,"Water, Sanitation and Environment",,Access to safe and affordable sanitation facilities,,,500,,15-Sep-18,30-Sep-19,,,,,,,
Plan International Uganda,18,International Non Governmental Organisation,Plan International Uganda,,,All,,,,Social Development,,The program 'Ni Yetu' provides support and capacity building to CBOs that are involved in protection and SGBV activities.,,,,,1st July 2015,01-Jan-00,,,,,,,
Refuge and Hope International,22,International Non Governmental Organisation,Refuge and Hope International,,,Makindye,,KANSANGA,,Social Development,,"Family Support - Emergency food, medical care and rent assistance is provided during crisis. 
 Psychosocial support is also available for beneficiaries
 Advocacy is done through trainings.",,,1350,,05-Jan-18,07-Dec-18,,,,,,,
Refuge and Hope International,22,International Non Governmental Organisation,Refuge and Hope International,,,Makindye,,KANSANGA,,Social Development,,"We want to unveil hidden potential in this vulnerable group who are in danger of missing crucial educational experience and help them heal through other activites like Leadership training, Sports, Music and Art.
 Advocacy done through training and events (Home run - where we educate the community on refugee issues.)",,,100,,05-Jan-18,07-Dec-18,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,BANDA,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,BWAISE II,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,KAGUGUBE,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,KAMWOKYA I,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,KATWE I,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,KIBUYE I,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,LUNGUJJA,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,MAKERERE III,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,MBUYA I,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
ACTogether Uganda,14,National Non Governmental Organisation,ACTogether Uganda,,,All,,NANKULABYE I,,Social Development,,"Promoting Neighbourhood Safety through reducing violence and crime among young women and men. Key Outcomes are; Safe Neighbourhoods, Safe Public Transport and Access to Decent Work",,,15000,,01-Jul-18,31-Aug-22,,,,,,,
Dwelling Places,26,Non Governmental Organisation,,,,Rubaga,"P.O Box 15232, Mutundwe, Kampala",MUTUNDWE,,"Justice, Law and Order ",,"DP works specifically with street connected children on the streets of Kampala and children in need of protection, irrespective of their nationalities providing Rescue, Rehabilitation, Reconciliation, sustainable Resettlement & Advocacy services aimed at ensuring every child has a chest to rest his head on and a place to call home.",For Refugees and Host Community,,,,August 2002,,,,,,,,
Sanyu Babies' Home,27,Non Governmental Organisation/Civil Society Organisation,,,,Rubaga,"P.O.Box, 14162, Kampala, Plot 346 Sir. Albert Cook Road, Namirembe Hill.",NAMIREMBE,,"Justice, Law and Order ",,,,,,,,,,,,,,,
Jesus and Me Children's Ministries,28,Non Governmental Organisation/Civil Society Organisation,,,,Makindye,"P.O Box 6592,Kampala, Plot 288,Hanlon Road,Nsambya,Buyondo Zone ",,,Education,,"Supporting,Uplifting,Transforminig and Empowering OVCs",,,,,,,,,,,,,
Jesus and Me Children's Ministries,28,Non Governmental Organisation/Civil Society Organisation,,,,Makindye,"P.O Box 6592,Kampala, Plot 288,Hanlon Road,Nsambya,Buyondo Zone ",,,Health,,"Supporting,Uplifting,Transforminig and Empowering OVCs",,,,,,,,,,,,,
Jesus and Me Children's Ministries,28,Non Governmental Organisation/Civil Society Organisation,,,,Makindye,"P.O Box 6592,Kampala, Plot 288,Hanlon Road,Nsambya,Buyondo Zone ",,,"Justice, Law and Order ",,"Supporting,Uplifting,Transforminig and Empowering OVCs",,,,,01-Dec-2001,01-Jun-2021,,,,,,,
United Nations Children's Fund (UNICEF),29,United Nations,UNICEF,,Uganda Child Helpline,All,,,All,"Justice, Law and Order ",,"Telephone case reporting and counseling services, handling walk-in clients to SAUTI offices Kireka, responding to cases of VAC reported through the media and U-report, provision of information and guidance on child care and protection, community sensitization activities (OCSA, case clinics, awareness raising), referral to essential services.",,,,Ongoing,41791,Ongoing after 2018,,,"Social work including referral to social service workforce partners such as police, court, health service, local governments (PSWO, CBOs/CSOs,CDO)",,Mugisha John,"Coordinator Child Helpline, Probation and Welfare Officer",gisha2013@gmail.com
United Nations Children's Fund (UNICEF),29,United Nations,UNICEF,,JLOS,N.A.,,,N.A.,"Justice, Law and Order ",,Capacity building of Justice Law & Order Sector (JLOS) institutions and Justice for Children coordinaters,,,,Ongoing,2012,Ongoing after 2018,,,Work with JLOS,The programme supports both JLOS at national level in Kampala as well as RCC/DCC (Regional/ Distict Coordiation Committie) at regional and district level,,,
United Nations Children's Fund (UNICEF),29,United Nations,UNICEF,,"KCCA, GeoGecko",All,,,All,Public Administration,,"Mapping of services in Kampala, including an online portal of 4W's on active organizations in KLA",,,,Ongoing,38543,43435,,,,Online portal will be hosted and updated by the KCCA.,Arthur Muteesasira,,amuteesasira@unicef.org
United Nations Children's Fund (UNICEF),29,United Nations,UNICEF,,"KCCA, Economic Policy Research Institute",TBC,,,TBC,"Justice, Law and Order ",,Social protection programme for adolescent girls in Kampala,,,,Under development,38543,TBC,,,,,Arthur Muteesasira,,amuteesasira@unicef.org
Willow International,,Non Governmental Organisation,Willow International,,,Makindye,P.O. Box 7654 Kampala,,,"Justice, Law and Order ",,"Psychosocial support, education (formal and informal), medical care, economic empowerment (business skills, access to start up capital), job placement, legal support, home assessments and family tracing, resettlement and follow up for children who have been victims of human trafficking. Shelter specifically for females.","Male and female, males on external case management, females in the shelter.",,,Ongoing,2015,N/A,Economic empowerment,Social and legal support,Education services,,Joylyn Edwards,,joylyn@willowintl.org
Children At Risk Action Network (CRANE),,Non Governmental Organisation,CRANE,,60 churches/ Organisations,All,"Centenary Hill road, Namirembe. Plot 879.P.O Box 14003 Kampala",,,Education,,Empowering the different stakeholders that take care of children with knowledge and skills that culminate into safety and survival.,2 million children,,,Ongoing,2014,2021,,,,,Faith Kembabazi,,f.kembabazi@cranenetwork.org
Makerere Child Development Centre,,Community Based Organisation,Makerere Child Development Centre,,,Kawempe,"P.O. Box 16312, Kampala",MAKERERE I,,Social Development,,"Holistic child development, interventions in lives of the poor or the poorest to offer social, economic, physical, cognitive and spiritual development.",,,245 children and their caregivers,Ongoing,May 2007,N/A,,,,,Wembabazi Jackline Hope,,jwembabazipd456@gmail.com
Katwe Youth Development Association (KAYDA),,Non Governmental Organisation,KAYDA,,,Makindye,"P.O. Box 10741Katwe II, Base Zone, Kampala",KATWE II,,Social Development,,"Education, feeding, street outreach, counselling and guidance, sports, vocational training, community sensitization",,,,Ongoing,,2020,,,,,Nsubuga Faisal,,nsubufa@yahoo.com
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,"Bbiina, Mbuya and Nakulabye family Helper projects",Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KASUBI,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes",,,"2,287 children and youth",Ongoing,June 2009,July 2019,,,,,Proscovia N. Maraka,Programme manager,pmaraka@kafoc.or.ug/ prossien@yahoo.co.uk
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KASUBI,,"Water, Sanitation and Environment",,"Disease control: School WASH, Reusable Sanitary pads provision to community enrolled and school children",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KASUBI,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KASUBI,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NAMIREMBE,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NAMIREMBE,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training

",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NAMIREMBE,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NANKULABYE I,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NANKULABYE I,,"Water, Sanitation and Environment",,"Disease control: School WASH, Reusable Sanitary pads provision to community enrolled and school children",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NANKULABYE I,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",NANKULABYE I,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",LUBYA,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",LUBYA,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Rubaga,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",LUBYA,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KISWA,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KISWA,,"Water, Sanitation and Environment",,"Disease control: School WASH, Reusable Sanitary pads provision to community enrolled and school children
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KISWA,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",KISWA,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",BUTABIKA,,Health,,"Community Health, HIV/AIDS, Disease control, ASRH, Child health: Medical examinations for children within the community, VHT follow up outreaches within the community, address health issues that enrolled children may face, provision of first aid boxes
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",BUTABIKA,,"Water, Sanitation and Environment",,"Disease control: School WASH, Reusable Sanitary pads provision to community enrolled and school children
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",BUTABIKA,,Education,,"School Retention and education Completion: Assistance with UNEB registration fees, vocational skills training
",,,,Ongoing,June 2009,July 2019,,,,,,,
Kampala Area Federation of Communities (KAFOC),,Non Governmental Organisation,KAFOC,,,Nakawa,"P.O.Box 22158, Plot 90, Kisosonkole Road, Along the railway, Kireka; Namugongo division, Wakiso District
",BUTABIKA,,"Justice, Law and Order ",,"Guidance & Counseling, community engagement & child participation: Parenting skills dialogues, community CP dialogues, child and youth adult partnership dialogues
",,,,Ongoing,June 2009,July 2019,,,,,,,
